EVENT_ID	STAGE_ID	ACTOR	CATEGORY	START_KST	END_KST	ACTIVE_SECONDS	WAIT_SECONDS	OWNER_WAIT_SECONDS	TOOL_WAIT_SECONDS	INPUT_REF_COUNT	FILES_READ_COUNT	LINES_OR_BYTES_READ	GIT_CALL_COUNT	OUTPUT_REF	NOTES
E001	S0	PMO	BOOTSTRAP	2026-08-26T01:54:30+09:00	2026-08-26T01:54:54+09:00	24	0	0	0	10	10	CURRENT_POINTER_SET	10	TASK_SCOPE_LOCK.md	Current bootstrap, selector, runtime, authority, validation, PMO memory/worklog and task refs recovered
E002	S0	PMO	SOURCE_RECOVERY	2026-08-26T01:55:00+09:00	2026-08-26T01:59:00+09:00	240	0	0	0	4	4	TARGETED_DIRECTORY_LISTINGS	4	TASK_SCOPE_LOCK.md	Task branch and exact proposal/plan refs confirmed; no repository-wide scan
E003	S0	BYULV	VALIDATION_CONTEXT_LOAD	OBSERVED_DISPATCH	2026-08-26T02:01:31+09:00	UNVERIFIED_SPLIT	0	0	0	4	5	EXACT_PLAN_AND_DIFF_SLICES	UNAVAILABLE	BYULV_PLAN_VALIDATION_RECEIPT.md	PASS; exact context/direct split unavailable and not reconstructed
E004	S1	CONTROL	SOURCE_RECOVERY	2026-08-26T02:00:00+09:00	2026-08-26T02:00:23+09:00	23	0	0	0	6	6	161864_BYTES_4847_LINES	0	INPUT_MANIFEST.tsv	Observed start and manifest-write completion; exact title search and canonical materialization; five duplicate pairs retained and byte-compared
E005	S2	MODEL+CONTROL	CROSSWALK	2026-08-26T02:01:55+09:00	2026-08-26T02:07:12+09:00	317	0	0	0	6	6	SIX_PRIMARY_DOCUMENTS	0	REVISION_DELTA_BACKLOG.md	Artifact-mtime envelope from S0 receipt completion to S2 backlog write; actor-level split unavailable and not reconstructed
E006	S3	MODEL	AUTHORING	2026-08-26T02:01:55+09:00	2026-08-26T02:04:20+09:00	145	0	0	0	3	3	ROLE_SCOPED_SECTIONS	0	ASA_CORE_WORLD_MODEL_PRO_MODE_REVISION_v2.1_CANDIDATE_2026-08-26.md	Artifact-mtime wall envelope; author compute split unavailable
E007	S4	MODEL+CONTROL	AUTHORING	2026-08-26T02:03:53+09:00	2026-08-26T02:06:47+09:00	174	0	0	0	5	5	ROLE_SCOPED_SECTIONS	0	ASA_CORE_REVISION_PACKET_INDEX_v2.1_CANDIDATE_2026-08-26.md	First-to-last companion-output mtime envelope; overlaps S3 as planned
E008	S5	PMO+CONTROL	SELF_CHECK	2026-08-26T02:06:47+09:00	2026-08-26T02:09:37+09:00	170	0	0	0	6	6	DETERMINISTIC_COUNTS_AND_HASHES	0	CANDIDATE_D0_MANIFEST.md	Observed final companion output to recorded D0 freeze; six hashes and deterministic counts passed
E009	S6	MODELV	UNCLASSIFIED	2026-08-26T02:11:07+09:00	2026-08-26T02:12:32+09:00	85	0	0	0	6	6	ROLE_SCOPED_SECTIONS	0	MODELV_SEMANTIC_VALIDATION_RECEIPT.md	Validation elapsed is observed; context/direct split unavailable and not reconstructed
E010	S6	CONTROLV	VALIDATION_CONTEXT_LOAD	2026-08-26T02:11:11+09:00	2026-08-26T02:12:23+09:00	72	0	0	0	10	10	ROLE_SCOPED_CONTROL_INPUTS	0	CONTROLV_SOURCE_TELEMETRY_VALIDATION_RECEIPT.md	Validator-observed context interval
E011	S6	CONTROLV	VALIDATION_DIRECT	2026-08-26T02:12:23+09:00	2026-08-26T02:13:27+09:00	64	0	0	0	10	10	ROLE_SCOPED_CONTROL_INPUTS	0	CONTROLV_SOURCE_TELEMETRY_VALIDATION_RECEIPT.md	Validator-observed direct-review interval
E012	S6	PMOV	VALIDATION_CONTEXT_LOAD	2026-08-26T02:11:21+09:00	2026-08-26T02:11:59+09:00	38	0	0	0	8	8	ROLE_SCOPED_PMO_INPUTS	3	PMOV_EXECUTION_ATTRIBUTION_VALIDATION_RECEIPT.md	Validator-observed context interval
E013	S6	PMOV	VALIDATION_DIRECT	2026-08-26T02:11:59+09:00	2026-08-26T02:13:01+09:00	62	0	0	0	8	8	ROLE_SCOPED_PMO_INPUTS	0	PMOV_EXECUTION_ATTRIBUTION_VALIDATION_RECEIPT.md	Validator-observed direct-review interval
E014	S6	PMO	VALIDATION_FINDING_INTEGRATION	2026-08-26T02:13:27+09:00	2026-08-26T02:14:41+09:00	74	0	0	0	3	3	THREE_FROZEN_RECEIPTS	0	S6_FINDING_FREEZE.md	All D0 findings collected before the single correction batch
E015	S7	PMO+MODEL+CONTROL	CORRECTION	2026-08-26T02:14:41+09:00	2026-08-26T02:16:13+09:00	92	0	0	0	5	5	FIVE_CONSOLIDATED_BLOCKERS	0	CANDIDATE_D1_MANIFEST.md	Single correction batch; two local R1 passages, one R6 evidence boundary, scope-lock identities, and supported telemetry rows
